Exporter,Category,Export Value
580,Electronic integrated circuits,109.453
580,Cases and containers,107.75500000000001
583,Fish,158499.418
583,Fish fillets,5272.612
583,Diamonds,1014.146
583,Dresses,454.018
583,Fish preparations,412.345
584,Vessels,295410.922
584,Floating or submersible drilling or production platforms,149414.308
584,Tankers,133814.84100000001
584,"Petroleum oils and oils from bituminous minerals, not crude",101901.476
584,Fish,43040.439
585,Vessels and other floating structures,3118.724
585,"Petroleum oils and oils from bituminous minerals, not crude",554.4770000000001
585,Fish,299.149
585,Ferrous waste and scrap,245.46
585,Units of automatic data processing machines,229.117
586,"Trousers, bib and brace overalls, breeches and shorts",3805625.524
586,Cereals,3072942.34
586,"Petroleum oils and oils from bituminous minerals, not crude",2752566.964
586,Bed linen,2723987.636
586,"Fabrics, woven",2407307.738
591,Copper ores and concentrates,2755631.8000000003
591,Vessels,590734.62
591,"Fruit, edible",288736.148
591,"Petroleum oils and oils from bituminous minerals, not crude",280630.731
591,Fish,176495.195
598,Petroleum gases and other gaseous hydrocarbons,5591397.729
598,Metals,1935525.637
598,Vegetable oils,967226.881
598,Copper ores and concentrates,758282.478
598,Nickel,578321.853
600,Soya beans,3424901.177
600,Electrical energy,1572031.7059999998
600,Meat,1554484.089
600,Cereals,1352717.7110000001
600,Oil-cake and other solid residues,905583.728
604,Copper ores and concentrates,20007915.042
604,Metals,8643379.602
604,"Fruit, edible",5619293.025
604,Copper,3697891.187
604,"Petroleum oils and oils from bituminous minerals, not crude",2183928.7709999997
608,Electronic integrated circuits,26993518.268
608,Electrical apparatus,4754034.561
608,Insulated electric conductors,3430921.7939999998
608,Units of automatic data processing machines,3362823.724
608,Metals,3327756.5689999997
612,Organo-inorganic compounds,229.623
612,Turbines,151.555
612,Medicaments,134.655
612,Printed matter,113.923
612,Machinery,103.42
616,Vehicles,20287630.278
616,Electric accumulators,12661341.414
616,Vehicle parts,9634284.038
616,Plastics,9463542.657
616,Engines,7452439.958000001
620,Vehicles,7621530.225
620,Medicaments,2804070.103
620,"Petroleum oils and oils from bituminous minerals, not crude",2513130.0470000003
620,Plastics,2409334.788
620,Footwear,2203377.0069999998
624,"Nuts, edible",76756.193
624,Fats and oils and their fractions,13501.85
624,Fish,7627.78
624,Molluscs,1293.554
624,Food preparations,676.694
626,Oils,112856.076
626,Petroleum gases and other gaseous hydrocarbons,22450.89
626,Coffee,19100.502
626,Spices,1043.2849999999999
626,Ferrous waste and scrap,908.938
634,Petroleum gases and other gaseous hydrocarbons,71186550.38000001
634,Oils,19919534.832000002
634,"Petroleum oils and oils from bituminous minerals, not crude",16307559.927
634,Ethylene polymers,2098784.503
634,"Fertilizers, mineral or chemical",1770132.01
642,Vehicles,12019729.2
642,Cereals,5462750.745
642,Vehicle parts,5168323.707
642,Insulated electric conductors,4265712.612
642,Rubber,3558257.305
643,Oils,121313335.833
643,"Petroleum oils and oils from bituminous minerals, not crude",49884866.609000005
643,Petroleum gases and other gaseous hydrocarbons,38241040.298
643,Coal,27188635.333
643,Metals,21155014.656
646,Metals,884856.785
646,"Niobium, tantalum, vanadium ores and concentrates",102353.88
646,Coffee,88717.562
646,Tin ores and concentrates,48419.522
646,"Tea, black",48404.212
652,Copper,13232.162999999999
652,Jewellery,6452.671
652,Iron or steel,489.168
652,Machinery,371.98
652,"Steel, stainless",322.429
654,Fish,14822.994
654,Crustaceans,8875.779999999999
654,Vehicles,3688.732
654,Petroleum gases and other gaseous hydrocarbons,2730.122
654,Floating structures,859.609
659,Motorboats,38763.48
659,"Instruments, appliances and machines",7477.43
659,Vessels and other floating structures,5085.0
659,"Boards, panels, consoles, desks and other bases",3648.09
659,Beer,3623.066
660,Medicaments,7007.3369999999995
660,Clothing,3438.759
660,Cycles,2538.4990000000003
660,"Blood, human or animal, antisera, other blood fractions and immunological products",808.149
660,Vehicles,807.093
662,Rum and other spirits obtained by distilling fermented sugar-cane products,2470.392
662,"Petroleum oils and oils from bituminous minerals, not crude",2407.716
662,Beer,2283.46
662,Turbines,2068.055
662,Seaweeds and other algae,1850.279
666,Crustaceans,1603.846
666,Aquatic invertebrates,1019.244
666,Glass,115.217
666,Organo-inorganic compounds,53.92
666,Plastics,46.332
670,Motorboats,11522.166
670,Wheat or meslin flour,10915.931
670,Dog or cat food,6769.128
670,Molluscs,3491.762
670,Crustaceans,1757.362
674,Machinery,49081.833
674,Food preparations,24419.392
674,Machine-tools,20220.392
674,Medicaments,17567.734
674,"Aeroplanes and other aircraft, except unmanned",12629.282
678,Oils,30845.64
678,Cocoa beans,6546.7519999999995
678,Vehicle parts,4661.917
678,Vegetable oils,4260.21
678,Aircraft and spacecraft,1873.4959999999999
682,Oils,171801057.77899998
682,"Petroleum oils and oils from bituminous minerals, not crude",37593208.925000004
682,Ethylene polymers,10559756.608000001
682,"Propylene, other olefin polymers",5556463.689
682,Alcohols,5250708.155
686,Metals,1092777.878
686,"Petroleum oils and oils from bituminous minerals, not crude",849072.117
686,Phosphoric acid and polyphosphoric acids,498239.397
686,Fish,339243.868
686,Cement,175734.973
688,Insulated electric conductors,2173743.0
688,Electrical energy,1634174.422
688,Copper ores and concentrates,1529239.2010000001
688,Rubber,1290196.753
688,Plastics,1058219.384
690,Fish,310776.007
690,Fish preparations,279085.10000000003
690,"Flours, meals and pellets",6724.6
690,Telephone sets,6080.888
690,Fish fillets,5232.921
694,Iron ores and concentrates,897113.387
694,Titanium ores and concentrates,188785.527
694,Diamonds,137073.935
694,Aluminium ores and concentrates,64819.797
694,Cocoa beans,50081.419
699,"Petroleum oils and oils from bituminous minerals, not crude",84050322.734
699,Medicaments,21777795.009
699,Diamonds,19276675.31
699,Telephone sets,15988731.008
699,Jewellery,12907826.038
702,Electronic integrated circuits,64918674.549
702,"Petroleum oils and oils from bituminous minerals, not crude",57453225.979
702,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,11444653.461
702,Metals,10343030.344999999
702,Tanks and other armoured fighting vehicles,9166118.768000001
703,Vehicles,41194261.871
703,Vehicle parts,4056411.977
703,Iron or non-alloy steel,3484510.849
703,Telephone sets,3375904.135
703,"Reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus",3186476.7970000003
704,Telephone sets,36595496.297
704,Electronic integrated circuits,32311118.371
704,"Flat panel display modules, whether or not incorporating touch-sensitive screens",24710455.793
704,Communication apparatus (excluding telephone sets or base stations),20916675.755
704,Footwear,19381165.2
705,Medicaments,16891377.459000003
705,Vehicles,4389175.95
705,"Petroleum oils and oils from bituminous minerals, not crude",2056809.845
705,Aluminium,1701654.955
705,Plastics,1265985.018
706,Metals,315192.586
706,Sheep,292496.169
706,Goats,84334.979
706,Mammals,74659.45800000001
706,Cattle,41979.144
710,Metals,40251401.67
710,Vehicles,15103293.361
710,Coal,8942993.558
710,Iron ores and concentrates,6892847.500000001
710,Chromium ores and concentrates,6241689.64
716,Metals,3686979.768
716,Tobacco,1319096.891
716,Nickel,989848.3809999999
716,Mineral substances,785331.291
716,Ferro-alloys,469878.37
724,Vehicles,54179403.946
724,Medicaments,16039473.162
724,"Petroleum oils and oils from bituminous minerals, not crude",13122744.67
724,"Fruit, edible",10188742.911
724,Meat,9080699.623
728,Oils,575958.828
728,"Petroleum oils and oils from bituminous minerals, not crude",30975.271
728,Metals,27378.59
728,Lucerne (alfalfa) meal and pellets,27294.829
728,Ferrous waste and scrap,14894.977
729,Oils,1127529.362
729,Metals,1034134.808
729,Sheep,687440.38
729,Oil seeds,672363.0410000001
729,Ground-nuts,436919.62700000004
740,Metals,1866360.568
740,Fish,88033.96
740,"Wood, tropical",42130.643
740,Wood,37653.703
740,"Petroleum oils and oils from bituminous minerals, not crude",25581.411
748,Odoriferous substances and mixtures,584078.929
748,Sugars,457519.521
748,"Chemical products, mixtures and preparations",275262.149
748,Wood,128909.807
748,"Trousers, bib and brace overalls, breeches and shorts",106594.14
752,Vehicles,22225553.083
752,"Petroleum oils and oils from bituminous minerals, not crude",10136074.198
752,Medicaments,8509476.49
752,"Blood, human or animal, antisera, other blood fractions and immunological products",5509450.365
752,Engines,4796018.235
757,Metals,102072457.402
757,Medicaments,43517415.607
757,"Blood, human or animal, antisera, other blood fractions and immunological products",36182665.82
757,Wrist-watches,29250606.827
757,Heterocyclic compounds,17255917.957000002
760,Vegetable oils,307131.047
760,"Natural calcium phosphates, natural aluminium calcium phosphates and phosphatic chalk",147660.726
760,Spices,89333.854
760,"Fruit, edible",80442.15
760,Vegetables,73202.628
762,Metals,470454.648
762,Precious metal ores and concentrates,168712.805
762,Aluminium,116925.472
762,Lead ores and concentrates,99724.561
762,Antimony and articles thereof,97064.753
764,Vehicles,28920120.281999998
764,Rubber,17671022.636
764,Electronic integrated circuits,14241927.975
764,Units of automatic data processing machines,14098666.57
764,Electrical apparatus,9102120.666
768,Metals,2651837.6920000003
768,"Petroleum oils and oils from bituminous minerals, not crude",529096.476
768,Soya beans,398042.489
768,"Natural calcium phosphates, natural aluminium calcium phosphates and phosphatic chalk",303320.972
768,"Nuts, edible",190704.112
772,Vehicles,146960.685
772,Communication apparatus,3580.74
772,Iron or steel,1532.507
772,Kitchen and toilet linen,1021.073
772,Medicaments,646.7620000000001
776,Vegetable roots and tubers,2320.371
776,Metals,1958.94
776,Fish,819.6410000000001
776,Vegetables,805.949
776,Kraft paper and paperboard,692.034
780,Petroleum gases and other gaseous hydrocarbons,3507465.0349999997
780,Alcohols,1737329.6960000002
780,Ammonia,1669583.554
780,Oils,1545676.2599999998
780,Ferrous products,616514.9199999999
784,Oils,98885248.447
784,"Petroleum oils and oils from bituminous minerals, not crude",49980993.266
784,Metals,47973231.714
784,Telephone sets,17329742.546
784,Petroleum gases and other gaseous hydrocarbons,12901981.148
788,Insulated electric conductors,3885818.8989999997
788,"Trousers, bib and brace overalls, breeches and shorts",1426194.129
788,Oils,996534.003
788,Vegetable oils,986034.9709999999
788,"Petroleum oils and oils from bituminous minerals, not crude",922257.1470000001
792,Vehicles,22406876.587
792,"Petroleum oils and oils from bituminous minerals, not crude",12564838.397
792,Jewellery,8436726.348
792,Iron or non-alloy steel,7170182.385
792,Plastics,6465689.507
795,Petroleum gases and other gaseous hydrocarbons,10873930.024000002
795,"Petroleum oils and oils from bituminous minerals, not crude",2643537.0960000004
795,"Fertilizers, mineral or chemical",650564.108
795,Oils,377665.38200000004
795,Electrical energy,121870.932
796,Poly(ethylene terephthalate),3784.751
796,Molluscs,1661.126
796,Carbonates,1597.067
796,Crustaceans,1466.771
796,Cigarettes,1391.08
798,Fish,48040.628000000004
798,Fish fillets,800.8589999999999
798,Communication apparatus (excluding telephone sets or base stations),632.124
798,"Reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus",255.084
798,Carbonates,139.213
800,Metals,4296555.353999999
800,Coffee,1016356.2749999999
800,Cereals,184603.795
800,"Petroleum oils and oils from bituminous minerals, not crude",138513.097
800,Cocoa beans,135846.46
804,Cereals,9356579.567
804,Vegetable oils,4826619.049
804,Iron ores and concentrates,1846139.9
804,Iron or non-alloy steel,1815531.318
804,Soya beans,1668894.245
807,"Catalysts, supported",2599614.717
807,Insulated electric conductors,698410.548
807,Vehicles,553463.414
807,Iron or non-alloy steel,444882.042
807,Seats,360882.842
818,"Petroleum oils and oils from bituminous minerals, not crude",4082512.023
818,"Fertilizers, mineral or chemical",3325041.667
818,Petroleum gases and other gaseous hydrocarbons,3311226.571
818,"Fruit, edible",2546856.144
818,Iron or non-alloy steel,2353024.583
826,Vehicles,41444099.692
826,Metals,36250970.276
826,Oils,21006395.459000003
826,Turbo-jets,20748455.135
826,Medicaments,19096341.506
834,Metals,4140511.143
834,Copper,514284.033
834,"Vegetables, leguminous",373289.76900000003
834,Tobacco,367912.097
834,Coffee,285627.03
842,Oils,128697453.415
842,"Petroleum oils and oils from bituminous minerals, not crude",115134122.446
842,Vehicles,100601119.925
842,Petroleum gases and other gaseous hydrocarbons,85232773.947
842,Electronic integrated circuits,40545856.032
854,Metals,7187339.814
854,Cotton,262551.0
854,"Nuts, edible",189989.889
854,Cement,105464.823
854,Oil seeds,104317.51699999999
858,Meat,2191143.681
858,Wood pulp,1977181.415
858,Dairy produce,817897.6680000001
858,Cereals,699295.864
858,Wood,415139.688
860,Metals,11381639.324
860,Cotton yarn,1377987.4579999999
860,Copper,1259875.771
860,"Fertilizers, mineral or chemical",989518.745
860,"Fruit, edible",552303.066
862,Oils,4045188.528
862,Petroleum coke,531718.878
862,Ferrous waste and scrap,420791.225
862,Alcohols,397424.413
862,"Fertilizers, mineral or chemical",279853.735
876,Seats,740.065
876,Semiconductor media,354.782
876,"Boards, panels, consoles, desks and other bases",276.527
876,Vehicles,185.483
876,Turbines,105.355
882,Electronic integrated circuits,11715.794
882,Insulated electric conductors,4669.735000000001
882,Vegetable oils,4101.369
882,Electrical apparatus,3161.1330000000003
882,Circuits,2615.669
887,Metals,264907.339
887,Ferrous waste and scrap,125091.06700000001
887,Fish,118985.504
887,"Fruit, edible",83484.952
887,Molluscs,78340.807
894,Copper,9447973.050999999
894,Metals,1943430.224
894,Electrical energy,334699.908
894,Sulphur of all kinds,284502.819
894,Stones,261281.51299999998
